lugar,precio,titulo,vendidos
 Guayas ,155,Samsung,1
Esmeraldas,265,Xiaomi,2
Manabí,319,Huawei,6
 Pichincha ( Quito ) ,220,Samsung,1
Pichincha(Quito),440,Otro,9
 Pichincha ( Quito ) ,435,Samsung,1
No especifica,299,Samsung,0
Pichincha(Quito),224.9,Xiaomi,17209
Pichincha(Quito),229.95,Xiaomi,332
Pichincha(Quito),225,Xiaomi,20791
Pichincha(Quito),225,Xiaomi,17826
Pichincha(Quito),320,Huawei,15788
Pichincha(Quito),180,Samsung,122
Pichincha(Quito),179.99,Samsung,19
Pichincha(Quito),270,Samsung,48
Pichincha(Quito),224.98,Xiaomi,16134
Pichincha(Quito),399,Samsung,9711
Pichincha(Quito),150,Samsung,13696
Pichincha(Quito),889.99,iPhone,2363
Pichincha(Quito),929,Samsung,5
Pichincha(Quito),519,Samsung,11
Pichincha(Quito),109.9,Huawei,78
Pichincha(Quito),295,Huawei,90
Pichincha(Quito),270,Samsung,22
Pichincha(Quito),369.99,Xiaomi,825
Pichincha(Quito),305,Samsung,9661
Pichincha(Quito),120,Samsung,13998
Pichincha(Quito),225,Huawei,20218
Pichincha(Quito),200,Xiaomi,8403
No especifica,659,Samsung,2177
No especifica,705,Otro,1569
Guayas,244,Huawei,1270
Pichincha(Quito),150,Samsung,20
Pichincha(Quito),110,Xiaomi,18
Pichincha(Quito),699.99,Samsung,9
Pichincha(Quito),489,Samsung,10
Pichincha(Quito),259.99,Xiaomi,10
Pichincha(Quito),220,Samsung,7
Pichincha(Quito),305,Huawei,41
Pichincha(Quito),384.99,Samsung,387
No especifica,364.95,Xiaomi,1202
Pichincha(Quito),844.99,Samsung,68
Pichincha(Quito),439.99,Xiaomi,2
No especifica,615,Huawei,5362
Pichincha(Quito),225,Xiaomi,13779
No especifica,289,Sony Xperia,88
Pichincha(Quito),400,Samsung,6506
Pichincha(Quito),220,Huawei,3084
Pichincha(Quito),125,Xiaomi,2225
Guayas,112,Xiaomi,1372
Pichincha(Quito),740,iPhone,1448
Pichincha(Quito),400,Xiaomi,2311
Pichincha(Quito),120,Samsung,2852
ElOro,190,Samsung,19
No especifica,309.99,Huawei,131
Pichincha(Quito),234.99,Huawei,427
No especifica,216,iPhone,2308
Pichincha(Quito),260,iPhone,18
Pichincha(Quito),225,Huawei,18660
Pichincha(Quito),245,Huawei,11835
Pichincha(Quito),240,Xiaomi,5812
No especifica,200,Sony Xperia,130
Pichincha(Quito),219.99,Xiaomi,9483
No especifica,249,iPhone,404
No especifica,699.99,Huawei,348
Pichincha(Quito),240,Samsung,1926
Pichincha(Quito),175,Huawei,2424
Pichincha(Quito),240,Huawei,8066
No especifica,187,iPhone,2281
Esmeraldas,300,Huawei,15
No especifica,218.99,Otro,10
Pichincha(Quito),160,Huawei,48
Pichincha(Quito),112,Samsung,604
Guayas,599,Otro,320
No especifica,848.99,Samsung,125
Pichincha(Quito),115,Samsung,4267
Pichincha(Quito),298.99,Huawei,836
Pichincha(Quito),499,Otro,5
No especifica,295,Huawei,74
Pichincha(Quito),769.99,Samsung,30
Pichincha(Quito),644.99,Samsung,49
Pichincha(Quito),180,Samsung,122
Pichincha(Quito),319.99,Huawei,10419
Pichincha(Quito),280,Xiaomi,4571
Pichincha(Quito),150,Samsung,4700
Pichincha(Quito),310,Samsung,5649
Pichincha(Quito),149.99,Samsung,128
No especifica,135,Huawei,338
No especifica,204.99,Samsung,305
Pichincha(Quito),395,Samsung,2002
Pichincha(Quito),559.99,iPhone,1270
Pichincha(Quito),550,Samsung,4431
Pichincha(Quito),179.99,Samsung,9
Pichincha(Quito),449,Samsung,9
No especifica,219.99,Samsung,126
Azuay,519.99,Samsung,5
No especifica,169.99,Huawei,78
Pichincha(Quito),226.99,Xiaomi,39
No especifica,153.99,Samsung,8
Pichincha(Quito),179.99,Xiaomi,162
Pichincha(Quito),112,Samsung,2898
Pichincha(Quito),150,Samsung,673
Guayas,359,Otro,192
No especifica,377,iPhone,0
No especifica,299,Otro,137
Pichincha(Quito),179.99,Samsung,9
Pichincha(Quito),759.99,Samsung,14
No especifica,690,Samsung,1
Pichincha(Quito),230,Huawei,10473
Pichincha(Quito),185,Huawei,4452
Pichincha(Quito),334.99,Xiaomi,7395
No especifica,274.99,Xiaomi,2748
Pichincha(Quito),299,Xiaomi,203
Pichincha(Quito),149.99,Samsung,1622
Pichincha(Quito),299.99,iPhone,505
No especifica,290.88,Samsung,76
Pichincha(Quito),128,Xiaomi,148
Pichincha(Quito),150,Otro,2099
Pichincha(Quito),165,Xiaomi,2863
Pichincha(Quito),664.99,iPhone,848
Pichincha(Quito),204.99,Xiaomi,7
Pichincha(Quito),537,Samsung,6
Pichincha(Quito),219.99,Huawei,1329
No especifica,217,iPhone,0
Pichincha(Quito),225,Samsung,217
Pichincha(Quito),299,Huawei,126
Pichincha(Quito),719.99,Samsung,133
No especifica,114,iPhone,570
Pichincha(Quito),270,Otro,55
Pichincha(Quito),269,Samsung,39
Pichincha(Quito),954.99,iPhone,19
No especifica,280,Motorola,10
No especifica,183,Samsung,476
Pichincha(Quito),150,Samsung,3980
Pichincha(Quito),222.99,Xiaomi,2870
Pichincha(Quito),185,Huawei,5531
Pichincha(Quito),180,Samsung,3876
Pichincha(Quito),125,Xiaomi,2396
Guayas,340,Otro,35
Esmeraldas,300,Huawei,15
Pichincha(Quito),404,iPhone,582
Pichincha(Quito),225,Xiaomi,1265
Pichincha(Quito),110,Huawei,2404
Pichincha(Quito),180,Samsung,3366
Pichincha(Quito),560,iPhone,993
Pichincha(Quito),101,Samsung,17
Pichincha(Quito),330,iPhone,8
Azuay,249.99,iPhone,11
Pichincha(Quito),398,Samsung,223
Pichincha(Quito),529,Otro,431
Pichincha(Quito),410,Samsung,4
Pichincha(Quito),849,Samsung,186
Pichincha(Quito),389.99,Sony Xperia,10
ElOro,200,Huawei,7
Pichincha(Quito),120,iPhone,101
Azuay,449.99,iPhone,2
No especifica,200,Huawei,277
Pichincha(Quito),149.99,Samsung,8272
No especifica,220,Huawei,2169
Pichincha(Quito),180,Samsung,122
Pichincha(Quito),310,Huawei,1334
No especifica,395,Otro,4574
Pichincha(Quito),260,Sony Xperia,462
No especifica,537,iPhone,134
ElOro,295,Otro,3
Pichincha(Quito),225,Xiaomi,3057
Pichincha(Quito),299,Samsung,243
No especifica,137,iPhone,1564
Pichincha(Quito),295,Samsung,2843
No especifica,229,Samsung,242
Pichincha(Quito),649,Samsung,3
ElOro,295,Otro,3
Pichincha(Quito),990,iPhone,5
No especifica,267,iPhone,0
Esmeraldas,280,Samsung,5
Pichincha(Quito),210,Xiaomi,113
No especifica,275,Xiaomi,886
Pichincha(Quito),599,iPhone,1163
Pichincha(Quito),389.99,Samsung,128
Pichincha(Quito),249.99,Huawei,434
Pichincha(Quito),899,Samsung,68
Pichincha(Quito),844.99,Samsung,26
No especifica,225,Xiaomi,642
Tungurahua,249,Huawei,79
Pichincha(Quito),234.99,Xiaomi,33
Azuay,189.99,Samsung,2
Esmeraldas,280,Samsung,5
Pichincha(Quito),150,Otro,32
Pichincha(Quito),219,Samsung,4
 Pichincha ( Quito ) ,310,Huawei,1
 Pichincha ( Quito ) ,249.99,Xiaomi,1
 Tungurahua ,245,Huawei,1
Azuay,132,Samsung,4
Guayas,429.99,iPhone,2
No especifica,625,Samsung,0
Guayas,115,Samsung,2
Pichincha(Quito),310,Huawei,1105
Pichincha(Quito),154.99,Samsung,4088
Pichincha(Quito),310,Huawei,5575
Guayas,388,Samsung,1219
Pichincha(Quito),700,Samsung,2183
No especifica,360,Xiaomi,665
Pichincha(Quito),275,Samsung,320
Pichincha(Quito),219,iPhone,43
No especifica,825,iPhone,85
No especifica,405,Xiaomi,426
Pichincha(Quito),724.99,Samsung,300
Pichincha(Quito),190,Samsung,2769
No especifica,549.99,Samsung,3853
Pichincha(Quito),759,Samsung,1785
Pichincha(Quito),289.99,Samsung,809
Pichincha(Quito),165,Samsung,110
No especifica,184.95,Samsung,6
Pichincha(Quito),229.99,Huawei,40
Pichincha(Quito),210,iPhone,141
Pichincha(Quito),178.99,Xiaomi,70
Pichincha(Quito),365,Xiaomi,92
Pichincha(Quito),210,Motorola,39
Pichincha(Quito),249.99,Sony Xperia,1075
Pichincha(Quito),244,Huawei,818
Pichincha(Quito),150,Samsung,72
Guayas,155,Samsung,110
No especifica,199.95,Xiaomi,987
Pichincha(Quito),219.99,Huawei,744
Pichincha(Quito),179.99,Motorola,114
Pichincha(Quito),414.99,Samsung,695
Pichincha(Quito),289.99,Samsung,298
Pichincha(Quito),224.99,Samsung,33
Pichincha(Quito),640,Samsung,496
No especifica,264,Xiaomi,406
Pichincha(Quito),239.99,Samsung,11
Pichincha(Quito),115,Samsung,19
Pichincha(Quito),339.99,Xiaomi,6
Pichincha(Quito),305,Samsung,5
Pichincha(Quito),228.99,Xiaomi,43
No especifica,199.99,Otro,33
Manabí,149,Samsung,5
Pichincha(Quito),889.99,iPhone,150
Pichincha(Quito),475,Huawei,2
No especifica,529,iPhone,0
No especifica,225,Xiaomi,0
Pichincha(Quito),267.99,iPhone,2
Pichincha(Quito),290,Samsung,50
Pichincha(Quito),264,iPhone,436
No especifica,339.99,Motorola,0
Pichincha(Quito),149.99,Samsung,6722
Pichincha(Quito),890,iPhone,762
Pichincha(Quito),109.99,Huawei,2703
No especifica,420,Xiaomi,140
Pichincha(Quito),220,Samsung,1460
ElOro,240,Xiaomi,19
Pichincha(Quito),259,Xiaomi,186
Pichincha(Quito),184.99,Xiaomi,2047
No especifica,979,Huawei,72
Pichincha(Quito),109.99,Samsung,270
No especifica,310,iPhone,0
Pichincha(Quito),250,Sony Xperia,1081
Pichincha(Quito),549,Otro,37
Pichincha(Quito),143,Samsung,36
No especifica,529,iPhone,0
No especifica,217,iPhone,0
Pichincha(Quito),159.99,Samsung,207
Pichincha(Quito),399,Samsung,128
Guayas,255,Xiaomi,91
Pichincha(Quito),255,Xiaomi,124
Guayas,294.99,Samsung,52
Guayas,599.99,iPhone,45
Pichincha(Quito),170,Xiaomi,42
Pichincha(Quito),255,Xiaomi,79
No especifica,280,Xiaomi,138
Pichincha(Quito),620,Samsung,2162
Pichincha(Quito),125,Xiaomi,2603
Pichincha(Quito),729,Sony Xperia,75
No especifica,499.99,Xiaomi,174
Pichincha(Quito),859.99,iPhone,175
Pichincha(Quito),270,Samsung,538
Guayas,188,Xiaomi,28
Guayas,154.99,Samsung,38
Guayas,289,Xiaomi,47
Guayas,640,Samsung,12
Guayas,249,Motorola,33
Pichincha(Quito),799,Samsung,118
Tungurahua,180,Samsung,235
No especifica,349,Samsung,0
Pichincha(Quito),183.99,Samsung,20
No especifica,294.99,Samsung,1
 Azuay ,309.99,iPhone,1
Pichincha(Quito),240,iPhone,4
Guayas,160,Samsung,3
No especifica,385,Otro,5
No especifica,217,iPhone,48
No especifica,377,iPhone,20
No especifica,105,Otro,0
No especifica,509.99,Samsung,0
 Pichincha ( Quito ) ,221,Huawei,1
No especifica,250,Otro,0
 Pichincha ( Quito ) ,150,Otro,1
No especifica,224.99,Xiaomi,2319
Pichincha(Quito),225,Samsung,4991
Guayas,888,iPhone,1048
Pichincha(Quito),619.99,Samsung,64
No especifica,210,Xiaomi,760
Pichincha(Quito),184.99,Huawei,3638
Pichincha(Quito),110,Samsung,69
Pichincha(Quito),175,Samsung,218
Pichincha(Quito),270,Samsung,637
Pichincha(Quito),160,Huawei,1849
Pichincha(Quito),179,Samsung,9
Pichincha(Quito),251.99,Xiaomi,38
Pichincha(Quito),299,Samsung,4
Pichincha(Quito),145,Samsung,9
Pichincha(Quito),110,Samsung,56
No especifica,377,iPhone,0
Pichincha(Quito),185,Samsung,1279
Pichincha(Quito),223,iPhone,42
Pichincha(Quito),142,Samsung,103
Pichincha(Quito),223,Xiaomi,95
Pichincha(Quito),388,Samsung,126
Guayas,499,Xiaomi,37
ElOro,240,Xiaomi,19
Pichincha(Quito),899,iPhone,71
Guayas,154.99,Samsung,40
Pichincha(Quito),185,Xiaomi,88
Guayas,280,Huawei,21
Pichincha(Quito),650,Huawei,15
Pichincha(Quito),610,Otro,16
Pichincha(Quito),560,iPhone,49
Pichincha(Quito),175,Huawei,2075
Pichincha(Quito),780,Samsung,436
Pichincha(Quito),300,Huawei,459
Pichincha(Quito),365,Xiaomi,153
No especifica,500,Otro,25
Pichincha(Quito),954.99,iPhone,109
No especifica,198,Motorola,0
No especifica,449,Huawei,122
Pichincha(Quito),749.95,Samsung,2
Guayas,270,Huawei,26
No especifica,198,Motorola,0
Pichincha(Quito),220,iPhone,4
Pichincha(Quito),145,iPhone,5
Pichincha(Quito),229.99,Xiaomi,405
Pichincha(Quito),179.99,Samsung,9
No especifica,844.99,Samsung,0
Pichincha(Quito),179.99,Samsung,9
No especifica,135,Xiaomi,0
No especifica,360,iPhone,0
ElOro,240,Xiaomi,19
No especifica,329.99,iPhone,0
Pichincha(Quito),150,Samsung,4
No especifica,169.99,Otro,0
No especifica,184,iPhone,3467
Pichincha(Quito),150,Samsung,2775
No especifica,174.99,Xiaomi,1448
Guayas,355,Xiaomi,985
Pichincha(Quito),399,Xiaomi,27
Pichincha(Quito),150,Samsung,127
Pichincha(Quito),529.99,Samsung,286
Pichincha(Quito),299.99,iPhone,1347
Pichincha(Quito),149.99,Samsung,1324
No especifica,364.99,Xiaomi,577
No especifica,294.99,Huawei,129
Pichincha(Quito),209.99,iPhone,7
Pichincha(Quito),799,Samsung,16
Pichincha(Quito),419.99,iPhone,691
Guayas,560,Samsung,50
Pichincha(Quito),230,Xiaomi,114
Guayas,699,Samsung,28
Guayas,950,iPhone,65
No especifica,209,iPhone,937
Guayas,120,Huawei,119
No especifica,195,Huawei,68
Guayas,240,Samsung,24
Pichincha(Quito),414.99,Xiaomi,11
Guayas,499,Samsung,20
Pichincha(Quito),225,Samsung,1278
Pichincha(Quito),530,Samsung,866
ElOro,190,Samsung,19
Pichincha(Quito),700,Huawei,35
Guayas,375,Xiaomi,16
Guayas,950,Huawei,12
ElOro,295,Otro,3
Guayas,234,Xiaomi,98
No especifica,289,Sony Xperia,88
Pichincha(Quito),210,Xiaomi,137
Pichincha(Quito),145,Samsung,20
Pichincha(Quito),150,Samsung,1157
Azuay,224.99,Huawei,5
Pichincha(Quito),270,Otro,2
No especifica,229,Samsung,6
Pichincha(Quito),210,Motorola,39
Pichincha(Quito),635,Samsung,3
No especifica,310,Samsung,0
Pichincha(Quito),929,iPhone,3
No especifica,310,Samsung,0
No especifica,309.99,iPhone,0
No especifica,250,Huawei,0
No especifica,200,Sony Xperia,130
No especifica,234.99,Samsung,0
No especifica,480,iPhone,0
ElOro,200,Huawei,7
No especifica,599,iPhone,36
Pichincha(Quito),389.99,Samsung,97
No especifica,209,iPhone,3362
Pichincha(Quito),225,Xiaomi,2577
No especifica,537,iPhone,315
Guayas,299.99,Huawei,4
Pichincha(Quito),165,Huawei,88
Guayas,490,Samsung,3
Pichincha(Quito),744.99,Samsung,14
Pichincha(Quito),619.99,Samsung,86
Pichincha(Quito),179.99,Motorola,114
Pichincha(Quito),190,Samsung,60
Guayas,750,Otro,60
Pichincha(Quito),239.95,Xiaomi,127
No especifica,999,Samsung,20
Pichincha(Quito),220,Xiaomi,22
Guayas,215,Xiaomi,15
Azuay,279.99,iPhone,188
Pichincha(Quito),149.99,Samsung,6804
Pichincha(Quito),729.99,iPhone,49
Pichincha(Quito),849,Otro,90
Pichincha(Quito),479.99,Otro,66
Pichincha(Quito),780,Otro,13
ElOro,200,Huawei,7
Guayas,144,Samsung,74
No especifica,500,Xiaomi,21
No especifica,280,iPhone,463
Pichincha(Quito),130,Huawei,602
No especifica,240,Samsung,377
No especifica,179,iPhone,0
Pichincha(Quito),396.99,Xiaomi,1213
No especifica,198,Motorola,0
Pichincha(Quito),220.99,Samsung,2
Pichincha(Quito),299,Huawei,8
Pichincha(Quito),218.99,Otro,9
No especifica,679,Samsung,0
No especifica,534.99,iPhone,0
No especifica,775,Samsung,0
No especifica,769,Samsung,0
No especifica,395,Otro,0
No especifica,340,Xiaomi,0
Pichincha(Quito),180,Samsung,122
Pichincha(Quito),649,Samsung,4
Pichincha(Quito),175,Huawei,3
Azuay,234.99,Samsung,5
No especifica,525,iPhone,0
Pichincha(Quito),195,Samsung,617
No especifica,639.99,Samsung,2070
No especifica,278,iPhone,199
No especifica,375,iPhone,345
Pichincha(Quito),470,Samsung,994
Pichincha(Quito),675,Samsung,167
Pichincha(Quito),299.99,Otro,400
Pichincha(Quito),750,Xiaomi,5
No especifica,198,Motorola,0
Pichincha(Quito),439,Xiaomi,13
No especifica,150,Samsung,3571
No especifica,600,Samsung,8
Pichincha(Quito),265,Xiaomi,39
ElOro,190,Samsung,19
Guayas,449,Xiaomi,27
No especifica,880,Huawei,29
Guayas,169,Xiaomi,196
No especifica,169.99,Huawei,75
Pichincha(Quito),224.99,Xiaomi,22
Pichincha(Quito),300,Samsung,64
No especifica,209.95,Xiaomi,176
Guayas,106,Huawei,38
Guayas,600,Otro,12
Pichincha(Quito),210,Motorola,39
Pichincha(Quito),325,Samsung,13
Pichincha(Quito),590,Samsung,24
No especifica,510,iPhone,77
Pichincha(Quito),210,Samsung,5965
Pichincha(Quito),759,iPhone,544
Pichincha(Quito),209.99,Samsung,70
Guayas,169,Xiaomi,24
No especifica,699,Otro,16
Pichincha(Quito),729.99,iPhone,31
Pichincha(Quito),395,Samsung,21
Pichincha(Quito),198,Motorola,40
No especifica,219.99,Huawei,337
Pichincha(Quito),554.99,iPhone,282
Pichincha(Quito),234.99,Samsung,7
Pichincha(Quito),154.99,Samsung,11
Azuay,327.99,Samsung,2
 Guayas ,209.99,Samsung,1
Pichincha(Quito),240,Samsung,100
Pichincha(Quito),145,Otro,11
No especifica,850,iPhone,0
Pichincha(Quito),103.99,Samsung,3
Pichincha(Quito),174.99,Samsung,2
Pichincha(Quito),385,Xiaomi,8
No especifica,420,Samsung,0
No especifica,215,Xiaomi,0
No especifica,398,Samsung,0
No especifica,660,Samsung,0
Pichincha(Quito),839.99,iPhone,63
Pichincha(Quito),899.99,iPhone,23
Pichincha(Quito),619.99,Otro,9
No especifica,374,Xiaomi,0
 Pichincha ( Quito ) ,149,Samsung,1
Pichincha(Quito),220,Huawei,35
No especifica,958.99,iPhone,1850
Pichincha(Quito),152,Samsung,269
Pichincha(Quito),180,Samsung,36
Pichincha(Quito),126,Xiaomi,15
Guayas,579.99,Samsung,78
Guayas,155,Samsung,27
Pichincha(Quito),264.99,Xiaomi,150
Pichincha(Quito),159.99,Samsung,260
No especifica,310,Samsung,12
No especifica,225,iPhone,0
No especifica,570,Samsung,9
Guayas,209.99,Samsung,74
Pichincha(Quito),155,Sony Xperia,92
Guayas,950,Samsung,45
Pichincha(Quito),730,Samsung,24
Guayas,317,Otro,21
Pichincha(Quito),189.95,Huawei,109
No especifica,199,Samsung,21
Pichincha(Quito),890,iPhone,7
Guayas,448,Otro,355
No especifica,198,Motorola,0
Pichincha(Quito),255,Sony Xperia,44
Pichincha(Quito),740,Samsung,4
Pichincha(Quito),375,iPhone,108
Pichincha(Quito),219,iPhone,65
Pichincha(Quito),414.99,Samsung,43
No especifica,827,iPhone,561
Guayas,280,Samsung,8
Guayas,219,Xiaomi,9
Manabí,222,Samsung,9
Guayas,289,Xiaomi,21
Pichincha(Quito),540,Huawei,30
Pichincha(Quito),214.99,Xiaomi,6
Pichincha(Quito),675,iPhone,17
No especifica,720,Huawei,13
Pichincha(Quito),165,Xiaomi,46
Guayas,499,Samsung,21
Guayas,219,Xiaomi,33
Pichincha(Quito),394.99,Samsung,5
Pichincha(Quito),749.99,Samsung,283
No especifica,290.88,Samsung,431
No especifica,200,Sony Xperia,130
No especifica,399.99,Xiaomi,7
Pichincha(Quito),299,iPhone,16
 Pichincha ( Quito ) ,150,Samsung,1
Azuay,249.99,Huawei,5
Azuay,128.99,Samsung,13
Pichincha(Quito),130,iPhone,19
No especifica,319,Huawei,0
No especifica,310,Samsung,0
No especifica,154.99,Samsung,0
No especifica,175,Samsung,0
No especifica,750,iPhone,0
No especifica,250,Huawei,0
No especifica,309.99,Samsung,0
No especifica,679,iPhone,13
No especifica,285,iPhone,0
Pichincha(Quito),295,Otro,58
Pichincha(Quito),879,Otro,13
Pichincha(Quito),123.99,Xiaomi,733
Pichincha(Quito),679,Huawei,64
Guayas,225,Xiaomi,13
Pichincha(Quito),155,Samsung,77
Pichincha(Quito),448.99,Xiaomi,12
Pichincha(Quito),640,Samsung,116
Pichincha(Quito),225,Huawei,77
Pichincha(Quito),147.99,Samsung,2635
Pichincha(Quito),149,Samsung,29
Pichincha(Quito),104.99,Xiaomi,392
Guayas,339,Xiaomi,13
Pichincha(Quito),720,Otro,8
Guayas,280,iPhone,237
Guayas,184,Samsung,18
Guayas,300,Samsung,11
Pichincha(Quito),690,Huawei,113
Guayas,560,iPhone,57
Pichincha(Quito),179.99,Motorola,114
Pichincha(Quito),499,iPhone,16
Guayas,288,Samsung,61
Manabí,159.99,Samsung,30
Guayas,105,Samsung,123
Guayas,399,Xiaomi,8
No especifica,380,Xiaomi,17
Pichincha(Quito),188,Xiaomi,18
Pichincha(Quito),788,iPhone,10
No especifica,720,Huawei,8
Pichincha(Quito),399,Xiaomi,14
Guayas,420,Xiaomi,16
Pichincha(Quito),519,Huawei,8
Pichincha(Quito),249,Motorola,38
Pichincha(Quito),315,Sony Xperia,7
Pichincha(Quito),180,Samsung,65
Pichincha(Quito),250,Sony Xperia,529
Pichincha(Quito),222,Samsung,428
Pichincha(Quito),229,Xiaomi,7
Pichincha(Quito),370,Samsung,6
Pichincha(Quito),299,iPhone,9
Pichincha(Quito),590,Samsung,15
Guayas,109,Samsung,27
Guayas,515,Samsung,11
No especifica,699,iPhone,16
No especifica,220,Xiaomi,834
Pichincha(Quito),979,Otro,3
Pichincha(Quito),314.99,Otro,26
No especifica,289,Sony Xperia,88
Pichincha(Quito),269.99,iPhone,2
Pichincha(Quito),185,Samsung,2
No especifica,160,Otro,0
No especifica,670,iPhone,0
No especifica,970,iPhone,4
Pichincha(Quito),110,Xiaomi,691
Pichincha(Quito),110,Huawei,290
No especifica,659,Samsung,123
Pichincha(Quito),124.99,Xiaomi,89
Pichincha(Quito),727.99,Huawei,7
Pichincha(Quito),225,Xiaomi,91
No especifica,310,iPhone,0
Guayas,259,Samsung,13
No especifica,330,Samsung,20
Pichincha(Quito),179.99,Otro,16
No especifica,189.99,Samsung,65
Pichincha(Quito),242,Samsung,2208
No especifica,999,iPhone,49
ElOro,390,Samsung,10
Guayas,142,Xiaomi,15
Pichincha(Quito),465,Samsung,8
Guayas,319.99,iPhone,28
Pichincha(Quito),155,Samsung,65
Pichincha(Quito),244,Samsung,62
No especifica,865,Samsung,30
No especifica,289,Sony Xperia,88
Pichincha(Quito),300,Samsung,45
No especifica,200,Sony Xperia,130
Pichincha(Quito),179.99,Samsung,70
Manabí,120,Otro,9
Guayas,319.99,iPhone,34
Manabí,179,Xiaomi,6
No especifica,200,iPhone,0
Pichincha(Quito),695,Xiaomi,3
Guayas,399,Xiaomi,8
Guayas,399,Samsung,3
Guayas,735,Samsung,2
Pichincha(Quito),479.99,Xiaomi,150
Manabí,560,iPhone,9
Loja,645,Xiaomi,9
No especifica,199,Motorola,117
Loja,694,Otro,10
Pichincha(Quito),649.99,iPhone,42
Guayas,355,Samsung,20
No especifica,270,Xiaomi,251
Pichincha(Quito),195,Xiaomi,29
Pichincha(Quito),399,Samsung,53
Pichincha(Quito),995,Samsung,13
ElOro,190,Samsung,19
Pichincha(Quito),299.99,Huawei,63
Guayas,174,Xiaomi,265
Pichincha(Quito),790,Otro,4
Pichincha(Quito),299.99,Samsung,43
Esmeraldas,280,Samsung,5
Guayas,144,Xiaomi,11
No especifica,780,Otro,3
Esmeraldas,280,Samsung,5
Guayas,155,Sony Xperia,69
Guayas,655,Huawei,9
Pichincha(Quito),310,Huawei,15
Guayas,379,Xiaomi,13
Pichincha(Quito),699,Samsung,13
Pichincha(Quito),999,iPhone,7
No especifica,354,iPhone,1987
Pichincha(Quito),129.99,Samsung,11
No especifica,649,Samsung,79
No especifica,259,iPhone,0
 Guayas ,290.99,Samsung,1
 Guayas ,509.99,iPhone,1
 Guayas ,280,iPhone,1
No especifica,375,iPhone,0
No especifica,920,iPhone,0
No especifica,329.99,iPhone,0
No especifica,649,Samsung,9
No especifica,259,Samsung,90
Guayas,779.99,Samsung,38
Guayas,388,Samsung,5
Guayas,780,iPhone,16
Loja,250,Huawei,19
Guayas,388,Samsung,25
Pichincha(Quito),116,Xiaomi,17
Pichincha(Quito),179.99,Samsung,9
Guayas,398,iPhone,10
Pichincha(Quito),718,Huawei,113
Guayas,550,Samsung,118
Guayas,399,Samsung,47
Guayas,319.99,Samsung,34
Guayas,223,Xiaomi,34
Pichincha(Quito),420,Samsung,34
Guayas,459.99,Samsung,38
No especifica,239.95,Huawei,175
Pichincha(Quito),335,Motorola,3
ElOro,400,Xiaomi,5
ElOro,780,Huawei,4
Pichincha(Quito),179.99,Motorola,11
Guayas,177,Motorola,10
Pichincha(Quito),920,Samsung,13
Azuay,270,Huawei,9
No especifica,350,iPhone,6
Guayas,399,Samsung,18
Guayas,689.99,iPhone,35
Guayas,549.99,Samsung,82
No especifica,289,Sony Xperia,88
Guayas,249,Samsung,19
Guayas,299,iPhone,26
Pichincha(Quito),250,Samsung,13
Pichincha(Quito),950,iPhone,32
Guayas,128,Huawei,19
Pichincha(Quito),585,Xiaomi,55
Guayas,710,Samsung,6
Pichincha(Quito),480,Xiaomi,15
Guayas,699,Otro,10
Pichincha(Quito),345,Xiaomi,19
Manabí,325,Samsung,9
Manabí,499,Xiaomi,5
Pichincha(Quito),410,Sony Xperia,8
Esmeraldas,300,Huawei,15
Manabí,234,Xiaomi,23
Pichincha(Quito),210,Motorola,39
Pichincha(Quito),287,Samsung,6
Manabí,126,Xiaomi,9
Pichincha(Quito),355,Xiaomi,203
Guayas,198,Motorola,6
Guayas,299,Samsung,35
Guayas,144,Samsung,40
Pichincha(Quito),649,Samsung,4
Pichincha(Quito),650,Samsung,11
Pichincha(Quito),939.99,iPhone,78
No especifica,499.99,iPhone,90
Pichincha(Quito),118,Samsung,291
Imbabura,149.99,Samsung,3
Azuay,159.99,Otro,4
Guayas,209.99,Samsung,50
 Pichincha ( Quito ) ,499,Samsung,1
 Azuay ,409.99,Samsung,1
Azuay,254.99,Otro,8
No especifica,269,iPhone,0
Pichincha(Quito),249.95,Xiaomi,2065
Pichincha(Quito),330,Samsung,1070
 Pichincha ( Quito ) ,232.99,Otro,1
No especifica,715,Samsung,0
No especifica,150,Samsung,0
Guayas,560,iPhone,14
Pichincha(Quito),480,Motorola,8
Pichincha(Quito),179.99,Motorola,114
Guayas,219,Huawei,31
No especifica,165,iPhone,0
Guayas,250,Samsung,59
Pichincha(Quito),448,Otro,13
Pichincha(Quito),144,Samsung,62
Esmeraldas,300,Huawei,15
Pichincha(Quito),115,Samsung,266
No especifica,219.99,Xiaomi,19
Manabí,198,Motorola,4
No especifica,440,Otro,13
Guayas,179,Xiaomi,6
Pichincha(Quito),210,Xiaomi,3
No especifica,700,Otro,2
Pichincha(Quito),950,Huawei,2
Pichincha(Quito),180,Samsung,4
Pichincha(Quito),600,Motorola,3
Pichincha(Quito),180,Samsung,122
No especifica,220,Samsung,0
Pichincha(Quito),600,Otro,6
Guayas,244,Huawei,6
Pichincha(Quito),839.99,iPhone,5
No especifica,200,Sony Xperia,130
Pichincha(Quito),835,Samsung,17
Guayas,234.99,Huawei,13
No especifica,198,Motorola,0
Guayas,126,Xiaomi,16
Loja,352,Xiaomi,10
ElOro,295,Otro,3
Pichincha(Quito),375,Xiaomi,6
Pichincha(Quito),144,Samsung,165
